2025-11-14 23:21:47,337 | INFO | app | Logging initialized (level=INFO) - log file: logs\service.log
2025-11-14 23:21:47,337 | INFO | app | Logging initialized (level=INFO) - log file: logs\service.log
2025-11-14 23:21:57,347 | INFO | app | Application created and blueprints registered
2025-11-14 23:21:57,347 | INFO | app | Application created and blueprints registered
2025-11-14 23:21:57,389 | INFO | werkzeug | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://192.168.0.105:5000
2025-11-14 23:21:57,389 | INFO | werkzeug | [33mPress CTRL+C to quit[0m
2025-11-14 23:21:57,394 | INFO | werkzeug |  * Restarting with stat
2025-11-14 23:21:57,880 | INFO | app | Logging initialized (level=INFO) - log file: logs\service.log
2025-11-14 23:21:57,880 | INFO | app | Logging initialized (level=INFO) - log file: logs\service.log
2025-11-14 23:22:02,967 | INFO | app | Application created and blueprints registered
2025-11-14 23:22:02,967 | INFO | app | Application created and blueprints registered
2025-11-14 23:22:02,987 | WARNING | werkzeug |  * Debugger is active!
2025-11-14 23:22:02,991 | INFO | werkzeug |  * Debugger PIN: 602-377-826
2025-11-14 23:22:50,402 | INFO | werkzeug |  * Detected change in 'D:\\AQUIB DARAIN\\projects_others\\New folder\\alzheimers-project\\services\\storage_service.py', reloading
2025-11-14 23:22:51,829 | INFO | werkzeug |  * Restarting with stat
2025-11-14 23:22:52,534 | INFO | app | Logging initialized (level=INFO) - log file: logs\service.log
2025-11-14 23:22:52,534 | INFO | app | Logging initialized (level=INFO) - log file: logs\service.log
2025-11-14 23:22:58,791 | INFO | app | Application created and blueprints registered
2025-11-14 23:22:58,791 | INFO | app | Application created and blueprints registered
2025-11-14 23:22:58,814 | WARNING | werkzeug |  * Debugger is active!
2025-11-14 23:22:58,821 | INFO | werkzeug |  * Debugger PIN: 602-377-826
2025-11-14 23:37:54,400 | INFO | app | Logging initialized (level=INFO) - log file: logs\service.log
2025-11-14 23:37:54,400 | INFO | app | Logging initialized (level=INFO) - log file: logs\service.log
2025-11-14 23:37:54,559 | INFO | app | Application created and blueprints registered
2025-11-14 23:37:54,559 | INFO | app | Application created and blueprints registered
2025-11-14 23:37:54,560 | INFO | app | No model file at model/alzheimer_model.pth, using default ResNet18 (untrained).
2025-11-14 23:37:54,560 | INFO | app | No model file at model/alzheimer_model.pth, using default ResNet18 (untrained).
2025-11-14 23:43:32,823 | INFO | app | Logging initialized (level=INFO) - log file: logs\service.log
2025-11-14 23:43:32,823 | INFO | app | Logging initialized (level=INFO) - log file: logs\service.log
2025-11-14 23:43:32,832 | INFO | app | Application created and blueprints registered
2025-11-14 23:43:32,832 | INFO | app | Application created and blueprints registered
2025-11-14 23:43:32,833 | INFO | app | No model file at model/alzheimer_model.pth, using default ResNet18 (untrained).
2025-11-14 23:43:32,833 | INFO | app | No model file at model/alzheimer_model.pth, using default ResNet18 (untrained).
2025-11-14 23:43:33,385 | INFO | app | Saved Grad-CAM overlay to uploads\a9b2e1b9c6a04059beefb0c170f80020_heat.jpg
2025-11-14 23:43:33,385 | INFO | app | Saved Grad-CAM overlay to uploads\a9b2e1b9c6a04059beefb0c170f80020_heat.jpg
2025-11-14 23:43:33,599 | INFO | app | Generated PDF report: uploads\a9b2e1b9c6a04059beefb0c170f80020_report.pdf
2025-11-14 23:43:33,599 | INFO | app | Generated PDF report: uploads\a9b2e1b9c6a04059beefb0c170f80020_report.pdf
2025-11-14 23:47:24,300 | INFO | app | Logging initialized (level=INFO) - log file: logs\service.log
2025-11-14 23:47:24,300 | INFO | app | Logging initialized (level=INFO) - log file: logs\service.log
2025-11-14 23:47:31,025 | INFO | app | Application created and blueprints registered
2025-11-14 23:47:31,025 | INFO | app | Application created and blueprints registered
2025-11-14 23:47:31,080 | INFO | werkzeug | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://192.168.0.105:5000
2025-11-14 23:47:31,080 | INFO | werkzeug | [33mPress CTRL+C to quit[0m
2025-11-14 23:47:31,083 | INFO | werkzeug |  * Restarting with stat
2025-11-14 23:47:31,646 | INFO | app | Logging initialized (level=INFO) - log file: logs\service.log
2025-11-14 23:47:31,646 | INFO | app | Logging initialized (level=INFO) - log file: logs\service.log
2025-11-14 23:47:37,800 | INFO | app | Application created and blueprints registered
2025-11-14 23:47:37,800 | INFO | app | Application created and blueprints registered
2025-11-14 23:47:37,823 | WARNING | werkzeug |  * Debugger is active!
2025-11-14 23:47:37,828 | INFO | werkzeug |  * Debugger PIN: 602-377-826
2025-11-14 23:57:28,028 | INFO | app | Received prediction request
2025-11-14 23:57:28,028 | INFO | app | Received prediction request
2025-11-14 23:57:28,036 | INFO | werkzeug | 127.0.0.1 - - [14/Nov/2025 23:57:28] "[31m[1mPOST /predict/ HTTP/1.1[0m" 400 -
2025-11-15 00:02:27,375 | INFO | app | Received prediction request
2025-11-15 00:02:27,375 | INFO | app | Received prediction request
2025-11-15 00:02:27,381 | INFO | app | Saved upload to uploads\e68412e63e8c4bf7a42aa9b39b349d6e.jpg
2025-11-15 00:02:27,381 | INFO | app | Saved upload to uploads\e68412e63e8c4bf7a42aa9b39b349d6e.jpg
2025-11-15 00:02:27,476 | INFO | app | No model file at model/alzheimer_model.pth, using default ResNet18 (untrained).
2025-11-15 00:02:27,476 | INFO | app | No model file at model/alzheimer_model.pth, using default ResNet18 (untrained).
2025-11-15 00:02:27,789 | INFO | app | Model prediction: {'label': 'Alzheimer', 'index': 2, 'probabilities': [0.01028352975845337, 0.007545586209744215, 0.9821709394454956]}
2025-11-15 00:02:27,789 | INFO | app | Model prediction: {'label': 'Alzheimer', 'index': 2, 'probabilities': [0.01028352975845337, 0.007545586209744215, 0.9821709394454956]}
2025-11-15 00:02:28,042 | INFO | app | Saved Grad-CAM overlay to uploads\e68412e63e8c4bf7a42aa9b39b349d6e_heat.jpg
2025-11-15 00:02:28,042 | INFO | app | Saved Grad-CAM overlay to uploads\e68412e63e8c4bf7a42aa9b39b349d6e_heat.jpg
2025-11-15 00:02:28,228 | INFO | app | Generated PDF report: uploads\e68412e63e8c4bf7a42aa9b39b349d6e_report.pdf
2025-11-15 00:02:28,228 | INFO | app | Generated PDF report: uploads\e68412e63e8c4bf7a42aa9b39b349d6e_report.pdf
2025-11-15 00:02:28,231 | INFO | werkzeug | 127.0.0.1 - - [15/Nov/2025 00:02:28] "POST /predict/ HTTP/1.1" 200 -
2025-11-15 00:07:51,349 | INFO | app | Received prediction request
2025-11-15 00:07:51,349 | INFO | app | Received prediction request
2025-11-15 00:07:51,353 | INFO | app | Saved upload to uploads\0ad78927f7e7458583f99cb38daf8795.jpg
2025-11-15 00:07:51,353 | INFO | app | Saved upload to uploads\0ad78927f7e7458583f99cb38daf8795.jpg
2025-11-15 00:07:51,483 | INFO | app | Model prediction: {'label': 'Alzheimer', 'index': 2, 'probabilities': [0.01028352975845337, 0.007545586209744215, 0.9821709394454956]}
2025-11-15 00:07:51,483 | INFO | app | Model prediction: {'label': 'Alzheimer', 'index': 2, 'probabilities': [0.01028352975845337, 0.007545586209744215, 0.9821709394454956]}
2025-11-15 00:07:51,755 | INFO | app | Saved Grad-CAM overlay to uploads\0ad78927f7e7458583f99cb38daf8795_heat.jpg
